Positions,sofifa_id,short_name,Pace,Shooting,Passing,Dribbling,Defending,Physic
Forward,241202,P. Daka,93.0,78.0,59.0,76.0,24.0,71.0
Midfielder,241508,M. Damsgaard,85.0,69.0,72.0,82.0,48.0,63.0
Midfielder,241721,Rafael Leão,88.0,73.0,68.0,79.0,27.0,70.0
Goalkeeper,242656,I. Meslier,,,,,,
Midfielder,243282,D. McNeil,72.0,68.0,77.0,80.0,53.0,67.0
Defender,243388,B. Sosa,79.0,43.0,75.0,75.0,71.0,69.0
Defender,244263,A. Rrahmani,62.0,51.0,54.0,60.0,78.0,80.0
Midfielder,244892,S. Diop,76.0,70.0,73.0,81.0,52.0,53.0
Defender,245037,Eric García,65.0,44.0,65.0,66.0,79.0,72.0
Forward,245158,L. Suárez,86.0,78.0,65.0,74.0,40.0,79.0
Midfielder,245541,G. Reyna,77.0,71.0,74.0,82.0,36.0,71.0
Midfielder,246172,S. Chukwueze,87.0,73.0,66.0,83.0,36.0,62.0
Forward,246242,B. Dia,78.0,77.0,55.0,74.0,27.0,75.0
Defender,247257,Ibañez,81.0,32.0,45.0,57.0,79.0,77.0
Defender,253163,R. Araujo,77.0,36.0,53.0,52.0,79.0,76.0
Defender,219681,J. Amavi,76.0,65.0,70.0,74.0,75.0,76.0
Defender,241049,Gorosabel,75.0,46.0,70.0,71.0,75.0,68.0
Forward,240690,N. González,87.0,71.0,64.0,82.0,45.0,60.0
Midfielder,234772,Salvi Sánchez,89.0,70.0,74.0,76.0,39.0,53.0
Forward,239901,S. Kalajdžić,61.0,73.0,66.0,73.0,45.0,70.0
Goalkeeper,234777,Z. Steffen,,,,,,
Goalkeeper,234833,F. Müller,,,,,,
Midfielder,235794,E. Eze,77.0,69.0,73.0,81.0,47.0,68.0
Midfielder,235889,C. Ünder,81.0,75.0,73.0,81.0,37.0,52.0
Midfielder,235945,Marc Roca,50.0,62.0,77.0,73.0,70.0,68.0
Defender,236403,E. Ndicka,75.0,47.0,70.0,74.0,77.0,76.0
Midfielder,236477,A. Claude-Maurice,87.0,73.0,75.0,80.0,68.0,68.0
Midfielder,236496,M. Guendouzi,74.0,63.0,75.0,75.0,72.0,76.0
Midfielder,236499,Douglas Luiz,67.0,67.0,74.0,76.0,74.0,69.0
Defender,236532,R. Koch,66.0,38.0,61.0,64.0,78.0,75.0
Midfielder,236593,C. Stengs,76.0,68.0,75.0,80.0,33.0,59.0
Midfielder,236639,Xeka,55.0,61.0,74.0,75.0,71.0,77.0
Midfielder,236772,D. Szoboszlai,79.0,78.0,79.0,79.0,34.0,64.0
Forward,236786,M. Terrier,84.0,77.0,74.0,76.0,35.0,66.0
Defender,238160,M. Demiral,73.0,39.0,47.0,60.0,79.0,80.0
Midfielder,238744,W. McKennie,81.0,71.0,74.0,76.0,76.0,83.0
Defender,239093,J. Clauss,85.0,66.0,70.0,76.0,67.0,71.0
Forward,220085,L. Waldschmidt,74.0,80.0,70.0,76.0,29.0,62.0
Goalkeeper,219522,J. Ledesma,,,,,,
Defender,192816,L. Cabrera,59.0,45.0,59.0,58.0,78.0,82.0
Midfielder,190432,Oier,61.0,64.0,72.0,69.0,74.0,74.0
Defender,193254,C. Trimmel,72.0,65.0,73.0,68.0,74.0,80.0
Forward,193290,M. Braithwaite,80.0,76.0,72.0,79.0,35.0,74.0
Defender,193601,G. Pezzella,54.0,49.0,47.0,57.0,79.0,73.0
Defender,194229,Hugo Mallo,66.0,39.0,68.0,67.0,74.0,74.0
Defender,194806,C. Dawson,51.0,47.0,59.0,57.0,79.0,76.0
Midfielder,194932,A. Townsend,77.0,74.0,75.0,79.0,38.0,67.0
Forward,195093,Willian José,62.0,78.0,66.0,74.0,40.0,80.0
Defender,195272,M. Faraoni,74.0,71.0,73.0,74.0,70.0,76.0
Midfielder,197083,D. Caligiuri,66.0,74.0,78.0,75.0,71.0,76.0
Defender,197948,F. Lejeune,45.0,57.0,61.0,66.0,78.0,76.0
Goalkeeper,199005,M. Ryan,,,,,,
Goalkeeper,199641,M. Sels,,,,,,
Goalkeeper,200110,M. Bizot,,,,,,
Midfielder,200215,S. Rode,60.0,64.0,71.0,73.0,76.0,77.0
Defender,200536,N. Schulz,86.0,51.0,72.0,73.0,72.0,77.0
Goalkeeper,201325,C. Tătărușanu,,,,,,
Defender,201377,J. Murillo,73.0,40.0,59.0,64.0,77.0,78.0
Midfielder,190875,J. Kucka,58.0,74.0,73.0,74.0,77.0,87.0
Defender,190149,De Marcos,82.0,64.0,74.0,76.0,70.0,78.0
Defender,201505,David López,56.0,58.0,66.0,65.0,78.0,76.0
Defender,190143,Cote,67.0,54.0,74.0,73.0,77.0,69.0
Goalkeeper,146748,Diego López,,,,,,
Midfielder,219391,G. Escalante,66.0,67.0,72.0,72.0,75.0,75.0
Forward,146758,Soldado,53.0,79.0,71.0,74.0,44.0,69.0
Forward,154472,Jorge Molina,36.0,81.0,67.0,68.0,41.0,70.0
Defender,165109,Ș. Radu,61.0,64.0,65.0,68.0,82.0,73.0
Goalkeeper,170597,T. Krul,,,,,,
Forward,173608,Joselu,55.0,78.0,68.0,72.0,30.0,70.0
Forward,176600,K. Gameiro,83.0,77.0,74.0,75.0,41.0,67.0
Defender,179789,D. Da Silva,50.0,37.0,59.0,55.0,78.0,78.0
Midfielder,181098,M. Hasebe,51.0,51.0,73.0,71.0,76.0,62.0
Forward,181820,S. Jovetić,65.0,79.0,76.0,79.0,35.0,60.0
Defender,183353,Víctor Díaz,71.0,56.0,68.0,67.0,75.0,75.0
Midfielder,183899,P. Piatti,82.0,74.0,74.0,78.0,47.0,56.0
Midfielder,188103,Rochina,70.0,77.0,78.0,81.0,54.0,68.0
Midfielder,188988,M. Lanzini,71.0,72.0,77.0,81.0,32.0,42.0
Forward,189250,S. Rondón,69.0,76.0,66.0,71.0,32.0,81.0
Defender,189472,Aridane,56.0,36.0,54.0,55.0,76.0,84.0
Defender,201454,F. Ghoulam,71.0,64.0,76.0,76.0,75.0,69.0
Midfielder,198118,J. Guilavogui,67.0,59.0,65.0,65.0,80.0,78.0
Midfielder,202282,S. Armstrong,73.0,77.0,75.0,76.0,65.0,72.0
Midfielder,214947,J. Gbamin,73.0,57.0,73.0,73.0,77.0,77.0
Forward,211784,N. Maupay,77.0,78.0,67.0,73.0,41.0,71.0
Midfielder,212153,R. Gagliardini,53.0,63.0,71.0,73.0,77.0,75.0
Midfielder,212245,Y. Gerhardt,64.0,71.0,75.0,75.0,72.0,76.0
Defender,212491,A. Masuaku,80.0,63.0,72.0,79.0,70.0,70.0
Midfielder,212501,L. Dendoncker,61.0,72.0,77.0,71.0,78.0,82.0
Defender,212602,Diego Llorente,71.0,40.0,62.0,65.0,76.0,78.0
Defender,202371,T. Meunier,73.0,74.0,72.0,72.0,73.0,80.0
Midfielder,213655,A. Iwobi,77.0,64.0,72.0,80.0,38.0,68.0
Midfielder,215057,I. Marcone,47.0,63.0,71.0,71.0,73.0,80.0
Midfielder,211454,M. Elneny,56.0,64.0,73.0,70.0,73.0,74.0
Forward,215441,S. Guirassy,71.0,77.0,66.0,75.0,38.0,76.0
Goalkeeper,215502,B. Drągowski,,,,,,
Forward,216258,I. Bebou,90.0,75.0,68.0,80.0,34.0,64.0
Midfielder,216435,S. Lobotka,63.0,63.0,76.0,78.0,69.0,64.0
Forward,216497,M. Philipp,78.0,79.0,71.0,79.0,42.0,61.0
Defender,217196,J. Palomino,46.0,32.0,55.0,59.0,79.0,81.0
Defender,218659,M. Targett,74.0,46.0,72.0,72.0,73.0,68.0
Defender,219145,G. Maripán,34.0,41.0,54.0,51.0,78.0,80.0
Midfielder,211575,André Gomes,54.0,67.0,76.0,76.0,69.0,74.0
Forward,212623,Santi Mina,75.0,77.0,69.0,76.0,49.0,72.0
Defender,211320,D. Rugani,59.0,40.0,55.0,63.0,79.0,72.0
Goalkeeper,206652,Sergio Rico,,,,,,
Defender,202562,J. Roussillon,88.0,65.0,72.0,78.0,73.0,73.0
Goalkeeper,202789,A. Schwolow,,,,,,
Midfielder,202851,G. Defrel,82.0,77.0,68.0,81.0,36.0,51.0
Defender,203177,D. Foulquier,77.0,63.0,70.0,73.0,73.0,77.0
Defender,203487,J. Lascelles,58.0,35.0,51.0,56.0,77.0,79.0
Defender,204876,Clerc,87.0,58.0,71.0,76.0,70.0,73.0
Defender,206493,Y. Abdelhamid,33.0,33.0,56.0,65.0,78.0,83.0
Defender,202493,Aleix Vidal,81.0,67.0,74.0,78.0,72.0,70.0
Midfielder,207421,L. Trossard,82.0,76.0,74.0,80.0,30.0,61.0
Forward,207791,Y. Poulsen,82.0,70.0,67.0,73.0,56.0,81.0
Midfielder,207948,B. Traoré,78.0,73.0,73.0,82.0,45.0,66.0
Defender,208004,J. Veltman,64.0,49.0,66.0,69.0,79.0,76.0
Midfielder,208777,Óliver Torres,63.0,67.0,78.0,82.0,63.0,54.0
Midfielder,210617,Samu Castillejo,80.0,69.0,74.0,82.0,43.0,53.0
Defender,210864,E. Hysaj,75.0,51.0,66.0,73.0,75.0,72.0
Forward,207664,C. Bacca,67.0,75.0,64.0,75.0,33.0,65.0
Forward,228635,Borja Mayoral,68.0,76.0,69.0,77.0,38.0,68.0
Goalkeeper,228789,Robert Sanchéz,,,,,,
Midfielder,228747,O. Idrissi,83.0,76.0,70.0,80.0,35.0,69.0
Defender,228708,L. Martínez Quarta,67.0,56.0,69.0,70.0,75.0,78.0
Midfielder,227234,L. Tousart,59.0,54.0,65.0,65.0,77.0,82.0
Defender,228579,B. Henrichs,74.0,53.0,71.0,75.0,73.0,69.0
Midfielder,227236,A. Zambo Anguissa,77.0,64.0,70.0,80.0,74.0,82.0
Midfielder,230065,S. Serdar,69.0,69.0,71.0,77.0,74.0,79.0
Defender,227222,F. Guilbert,74.0,48.0,67.0,68.0,74.0,78.0
Midfielder,230020,P. Lees-Melou,67.0,72.0,77.0,76.0,67.0,74.0
Midfielder,231416,D. Lukébakio,84.0,75.0,69.0,79.0,31.0,60.0
Midfielder,230613,A. Diawara,62.0,54.0,71.0,76.0,72.0,71.0
Goalkeeper,230727,G. Larsonneur,,,,,,
Defender,231366,P. Lienhart,64.0,28.0,56.0,61.0,78.0,73.0
Defender,231936,B. White,69.0,27.0,61.0,67.0,77.0,76.0
Midfielder,232498,Isi,86.0,74.0,73.0,77.0,39.0,65.0
Midfielder,233556,R. Orsolini,80.0,70.0,74.0,81.0,39.0,65.0
Midfielder,233631,A. Ndiaye,92.0,71.0,67.0,79.0,46.0,67.0
Midfielder,233848,J. Hauge,88.0,68.0,67.0,78.0,42.0,66.0
Defender,226268,F. Dimarco,75.0,61.0,75.0,74.0,70.0,62.0
Defender,226853,J. St. Juste,91.0,58.0,66.0,74.0,78.0,73.0
Midfielder,224158,S. Amrabat,69.0,71.0,70.0,75.0,73.0,78.0
Defender,226229,T. Kehrer,68.0,44.0,65.0,66.0,77.0,78.0
Midfielder,220831,M. Malsa,73.0,63.0,71.0,76.0,75.0,77.0
Midfielder,234171,R. Sallai,72.0,70.0,70.0,79.0,37.0,61.0
Goalkeeper,216065,M. Sportiello,,,,,,
Midfielder,216433,A. El Ghazi,73.0,78.0,70.0,76.0,35.0,69.0
Forward,216549,A. Sørloth,80.0,74.0,66.0,70.0,36.0,83.0
Forward,217699,I. Slimani,47.0,76.0,73.0,69.0,47.0,80.0
Defender,220477,M. Caldara,58.0,34.0,46.0,63.0,79.0,71.0
Defender,220570,J. Bednarek,52.0,22.0,53.0,55.0,78.0,77.0
Midfielder,220659,J. Brownhill,69.0,67.0,72.0,74.0,74.0,76.0
Forward,221841,A. Armstrong,90.0,77.0,66.0,76.0,35.0,71.0
Forward,226093,C. Adams,84.0,77.0,62.0,74.0,40.0,77.0
Midfielder,222404,M. Normann,72.0,64.0,72.0,75.0,71.0,81.0
Midfielder,222715,Otávio,61.0,55.0,67.0,72.0,75.0,76.0
Forward,223113,K. Piątek,75.0,77.0,53.0,72.0,36.0,71.0
Midfielder,223154,O. Tufan,75.0,73.0,73.0,76.0,73.0,82.0
Defender,223329,A. Conti,75.0,58.0,69.0,74.0,73.0,64.0
Midfielder,225783,S. Mavididi,89.0,72.0,67.0,75.0,27.0,67.0
Defender,225859,M. Niakhaté,77.0,39.0,60.0,66.0,76.0,78.0
Midfielder,225951,D. Bouanga,80.0,75.0,70.0,78.0,38.0,69.0
Midfielder,234078,O. Mangala,70.0,53.0,71.0,83.0,71.0,71.0
Defender,253290,M. Viña,82.0,62.0,71.0,75.0,69.0,69.0
Defender,234574,Diogo Dalot,79.0,60.0,70.0,77.0,72.0,75.0
Midfielder,244393,Gonzalo Villar,59.0,57.0,75.0,78.0,71.0,72.0
Forward,242348,Loren,71.0,78.0,60.0,74.0,32.0,74.0
Midfielder,242374,M. Barrow,84.0,74.0,67.0,77.0,31.0,63.0
Defender,242578,B. Badiashile,62.0,39.0,63.0,58.0,77.0,76.0
Defender,242663,S. Bornauw,72.0,45.0,60.0,65.0,78.0,76.0
Midfielder,242664,A. Saelemaekers,81.0,66.0,74.0,78.0,62.0,68.0
Midfielder,242816,Riqui Puig,67.0,61.0,75.0,81.0,58.0,63.0
Midfielder,244261,L. Majer,69.0,69.0,78.0,83.0,54.0,59.0
Goalkeeper,244316,Luís Maximiano,,,,,,
Defender,244749,N. Aguerd,60.0,45.0,60.0,61.0,76.0,77.0
Midfielder,234711,J. Brekalo,76.0,73.0,71.0,82.0,35.0,52.0
Midfielder,244778,Trincão,79.0,71.0,70.0,81.0,37.0,69.0
Defender,244915,M. Salisu,67.0,36.0,51.0,55.0,76.0,79.0
Defender,245388,J. Todibo,76.0,44.0,61.0,64.0,77.0,76.0
Midfielder,246785,Bryan Gil,78.0,67.0,72.0,81.0,26.0,35.0
Midfielder,251566,Gabriel Martinelli,87.0,69.0,67.0,78.0,44.0,67.0
Defender,251804,S. Dest,87.0,59.0,72.0,81.0,67.0,66.0
Midfielder,253004,Ansu Fati,88.0,74.0,68.0,79.0,29.0,53.0
Defender,215699,Y. Sabaly,78.0,46.0,63.0,71.0,73.0,70.0
Midfielder,241707,P. Gueye,73.0,46.0,65.0,70.0,72.0,79.0
Defender,241497,C. Dagba,82.0,53.0,70.0,77.0,72.0,61.0
Defender,240915,Miranda,78.0,57.0,68.0,74.0,71.0,66.0
Defender,240754,Y. Atal,90.0,68.0,71.0,79.0,70.0,69.0
Midfielder,235149,J. Schouten,64.0,55.0,67.0,74.0,74.0,70.0
Midfielder,235424,D. Samassékou,66.0,49.0,65.0,72.0,76.0,74.0
Defender,235875,Pol Lirola,77.0,57.0,70.0,75.0,71.0,70.0
Midfielder,235944,Brais Méndez,71.0,74.0,76.0,74.0,50.0,63.0
Midfielder,236221,D. Brašanac,55.0,70.0,73.0,73.0,72.0,73.0
Midfielder,236276,A. Danjuma,83.0,73.0,70.0,78.0,42.0,67.0
Midfielder,236679,Melendo,78.0,66.0,75.0,78.0,48.0,60.0
Midfielder,236920,J. Kluivert,89.0,72.0,67.0,81.0,37.0,58.0
Midfielder,237184,K. Bare,75.0,61.0,70.0,74.0,73.0,77.0
Defender,238095,N. Milenković,66.0,44.0,61.0,62.0,76.0,81.0
Midfielder,238227,K. Diatta,93.0,69.0,66.0,78.0,47.0,69.0
Defender,239580,Bremer,64.0,35.0,51.0,62.0,77.0,74.0
Defender,239890,O. Kabak,69.0,36.0,56.0,69.0,74.0,79.0
Forward,239956,M. Boadu,89.0,75.0,61.0,76.0,28.0,66.0
Midfielder,240273,E. Smith Rowe,78.0,64.0,73.0,78.0,32.0,61.0
Midfielder,240458,Ander Guevara,53.0,64.0,74.0,71.0,73.0,70.0
Defender,240716,M. Olivera,76.0,50.0,65.0,70.0,74.0,77.0
Forward,215785,K. Baldé,91.0,74.0,71.0,79.0,30.0,70.0
Defender,210719,M. Kempf,76.0,42.0,56.0,62.0,76.0,77.0
Forward,215689,A. Petagna,61.0,75.0,68.0,76.0,34.0,81.0
Midfielder,201262,V. Darida,66.0,70.0,74.0,78.0,70.0,63.0
Defender,192641,K. Vogt,71.0,57.0,72.0,68.0,77.0,75.0
Goalkeeper,192665,A. Luthe,,,,,,
Midfielder,193116,M. Gonalons,47.0,61.0,72.0,68.0,75.0,72.0
Goalkeeper,193331,K. Darlow,,,,,,
Defender,193352,R. Rodríguez,71.0,67.0,74.0,74.0,75.0,74.0
Midfielder,193683,X. Chavalerin,60.0,64.0,74.0,71.0,70.0,76.0
Midfielder,193881,F. Đuričić,73.0,69.0,75.0,78.0,42.0,60.0
Midfielder,194794,A. Yarmolenko,61.0,79.0,77.0,78.0,42.0,67.0
Forward,194845,W. Khazri,69.0,79.0,76.0,77.0,42.0,67.0
Goalkeeper,195668,Joel Robles,,,,,,
Midfielder,198368,Tomás Pina,42.0,66.0,72.0,73.0,73.0,72.0
Midfielder,198719,N. Redmond,81.0,72.0,70.0,81.0,30.0,53.0
Defender,199393,N. Pallois,41.0,53.0,60.0,59.0,76.0,85.0
Midfielder,199561,Nolito,64.0,76.0,77.0,77.0,45.0,62.0
Defender,199577,Sergi Gómez,58.0,40.0,64.0,61.0,78.0,73.0
Defender,199633,M. Lowton,66.0,61.0,73.0,72.0,76.0,74.0
Goalkeeper,200316,T. Horn,,,,,,
Defender,200677,Pedro Mendes,65.0,38.0,51.0,61.0,77.0,81.0
Defender,201118,Cédric,76.0,63.0,70.0,75.0,72.0,66.0
Defender,192041,N. Araújo,66.0,41.0,55.0,59.0,78.0,78.0
Midfielder,190765,P. Groß,50.0,74.0,80.0,75.0,58.0,71.0
Forward,190362,T. Pukki,76.0,76.0,60.0,75.0,34.0,68.0
Goalkeeper,172723,A. Begović,,,,,,
Goalkeeper,104389,R. Jarstein,,,,,,
Defender,158625,Dante,32.0,51.0,67.0,64.0,78.0,76.0
Midfielder,162895,Cesc Fàbregas,40.0,67.0,81.0,75.0,62.0,55.0
Goalkeeper,163264,T. Heaton,,,,,,
Midfielder,164859,T. Walcott,85.0,70.0,69.0,78.0,39.0,59.0
Defender,169705,R. Bertrand,74.0,53.0,72.0,75.0,73.0,71.0
Midfielder,169706,J. Cork,44.0,60.0,71.0,69.0,75.0,77.0
Defender,170320,L. De Silvestri,73.0,67.0,71.0,73.0,73.0,75.0
Defender,173208,D. Criscito,73.0,61.0,75.0,72.0,78.0,71.0
Midfielder,189712,K. Strootman,50.0,75.0,74.0,74.0,75.0,77.0
Midfielder,181318,A. Ekdal,47.0,65.0,76.0,73.0,70.0,76.0
Defender,182495,M. Cáceres,70.0,51.0,63.0,69.0,77.0,75.0
Midfielder,183130,M. Albrighton,70.0,68.0,76.0,76.0,61.0,66.0
Forward,183569,E. Choupo-Moting,71.0,73.0,68.0,78.0,38.0,73.0
Defender,184190,R. Thomas,35.0,33.0,54.0,48.0,78.0,73.0
Midfielder,184826,Adrien Silva,53.0,73.0,77.0,76.0,69.0,67.0
Defender,215399,Rúben Vezo,75.0,54.0,63.0,64.0,77.0,76.0
Midfielder,189251,S. Rudy,66.0,65.0,77.0,76.0,73.0,66.0
Midfielder,201144,M. Badelj,50.0,63.0,74.0,72.0,73.0,72.0
Defender,186156,L. Ayling,66.0,54.0,64.0,72.0,76.0,75.0
Defender,201389,C. Biraghi,75.0,65.0,74.0,73.0,72.0,69.0
Midfielder,212127,D. Lazović,85.0,68.0,72.0,77.0,61.0,56.0
Defender,208001,Paulo Otávio,91.0,55.0,67.0,77.0,70.0,59.0
Forward,208498,M. Dabbur,70.0,75.0,66.0,76.0,32.0,68.0
Defender,208509,T. Foket,75.0,57.0,69.0,72.0,73.0,77.0
Midfielder,208787,A. Thomasson,68.0,70.0,76.0,77.0,65.0,69.0
Defender,210047,F. Schär,58.0,67.0,70.0,68.0,77.0,75.0
Defender,210384,R. Haps,87.0,63.0,67.0,76.0,68.0,72.0
Midfielder,210438,F. Boulaya,72.0,69.0,75.0,80.0,26.0,54.0
Midfielder,210896,M. Sanson,72.0,73.0,76.0,76.0,70.0,77.0
Forward,212228,I. Toney,80.0,75.0,58.0,72.0,46.0,80.0
Midfielder,206516,W. Hughes,63.0,64.0,77.0,77.0,68.0,64.0
Midfielder,212242,R. Andrich,59.0,73.0,76.0,71.0,73.0,82.0
Forward,212260,Hwang Ui Jo,78.0,77.0,64.0,74.0,42.0,73.0
Defender,212678,L. Augustinsson,67.0,60.0,75.0,74.0,72.0,71.0
Defender,212883,D. Amartey,65.0,55.0,65.0,69.0,76.0,75.0
Defender,212977,N. Stark,77.0,52.0,64.0,69.0,77.0,76.0
Forward,213135,D. Origi,79.0,75.0,67.0,75.0,27.0,74.0
Defender,201510,L. Kurzawa,74.0,65.0,72.0,76.0,73.0,72.0
Midfielder,213388,F. Tait,73.0,69.0,73.0,77.0,35.0,64.0
Defender,206654,Pablo Marí,53.0,40.0,51.0,51.0,76.0,80.0
Defender,212219,A. Djiku,71.0,42.0,66.0,69.0,75.0,81.0
Midfielder,206306,J. Ferri,59.0,65.0,74.0,73.0,69.0,75.0
Defender,204760,C. Taylor,69.0,54.0,70.0,72.0,75.0,77.0
Goalkeeper,201976,A. Gomis,,,,,,
Midfielder,206304,L. Milivojević,50.0,67.0,75.0,68.0,75.0,77.0
Defender,201982,J. Schmid,77.0,63.0,76.0,76.0,69.0,75.0
Defender,202201,J. Gouweleeuw,71.0,58.0,65.0,64.0,79.0,75.0
Defender,202429,D. da Costa,73.0,56.0,66.0,70.0,75.0,82.0
Forward,202685,S. Zaza,78.0,76.0,61.0,75.0,49.0,80.0
Midfielder,201858,N. Sansone,78.0,72.0,71.0,80.0,44.0,55.0
Defender,203741,T. Delaine,85.0,51.0,72.0,74.0,67.0,75.0
Forward,204077,M. Niang,77.0,78.0,67.0,74.0,31.0,72.0
Defender,203030,R. Knoche,39.0,41.0,52.0,50.0,79.0,72.0
Defender,205346,R. Fredericks,91.0,51.0,66.0,73.0,70.0,69.0
Midfielder,205407,D. Baselli,68.0,72.0,78.0,80.0,66.0,61.0
Defender,205566,Alberto Moreno,82.0,66.0,68.0,77.0,69.0,69.0
Defender,206058,M. De Sciglio,68.0,46.0,70.0,74.0,75.0,69.0
Midfielder,205201,O. Yokuşlu,66.0,70.0,71.0,72.0,74.0,83.0
Midfielder,206225,D. Cheryshev,76.0,75.0,74.0,74.0,55.0,67.0
Midfielder,206115,I. Hayden,58.0,60.0,63.0,70.0,75.0,78.0
Forward,226380,Hwang Hee Chan,84.0,75.0,70.0,78.0,28.0,68.0
Defender,229476,W. Anton,66.0,46.0,57.0,64.0,76.0,79.0
Midfielder,229758,R. Krunić,67.0,72.0,74.0,75.0,68.0,70.0
Defender,229628,Fali,55.0,53.0,66.0,59.0,74.0,87.0
Midfielder,229593,M. Pjaca,76.0,67.0,74.0,81.0,41.0,63.0
Midfielder,226627,T. Minamino,79.0,73.0,69.0,81.0,36.0,63.0
Defender,228732,H. Moukoudi,53.0,32.0,51.0,49.0,75.0,80.0
Midfielder,228509,J. Reine-Adélaïde,76.0,70.0,72.0,80.0,54.0,68.0
Defender,226515,Andrei Girotto,55.0,65.0,66.0,67.0,77.0,73.0
Midfielder,226078,Trezeguet,77.0,73.0,71.0,78.0,36.0,66.0
Midfielder,226168,M. Eggestein,63.0,67.0,72.0,77.0,70.0,76.0
Midfielder,230005,T. Davies,65.0,64.0,73.0,75.0,69.0,71.0
Goalkeeper,234102,I. Radu,,,,,,
Midfielder,231227,N. Dorsch,68.0,65.0,71.0,76.0,71.0,73.0
Midfielder,231280,Iván Alejo,80.0,72.0,73.0,76.0,43.0,65.0
Defender,231591,Javi Galán,77.0,54.0,72.0,74.0,69.0,67.0
Midfielder,231612,R. Del Castillo,77.0,68.0,72.0,79.0,39.0,65.0
Midfielder,232097,A. Harit,79.0,64.0,69.0,81.0,45.0,47.0
Defender,232938,T. Tomiyasu,68.0,32.0,63.0,69.0,76.0,77.0
Forward,233866,O. Edouard,83.0,74.0,67.0,79.0,45.0,75.0
Defender,234178,L. Abram,65.0,42.0,58.0,60.0,75.0,78.0
Midfielder,234789,Y. Eteki,63.0,55.0,66.0,69.0,70.0,76.0
Midfielder,234824,Y. Wissa,88.0,74.0,65.0,76.0,28.0,68.0
Midfielder,225748,T. Cantwell,72.0,68.0,72.0,78.0,39.0,51.0
Midfielder,235134,P. Rosario,67.0,64.0,68.0,72.0,72.0,78.0
Defender,235565,D. Bronn,66.0,61.0,67.0,65.0,76.0,76.0
Midfielder,225782,A. Maitland-Niles,81.0,63.0,70.0,77.0,71.0,72.0
Forward,221639,Mariano,76.0,78.0,61.0,71.0,45.0,78.0
Midfielder,225475,Hernani,65.0,69.0,69.0,72.0,74.0,70.0
Midfielder,225439,R. Mandragora,57.0,63.0,74.0,75.0,74.0,76.0
Midfielder,220905,J. Aholou,67.0,64.0,66.0,70.0,73.0,77.0
Defender,235883,R. Sessegnon,82.0,65.0,70.0,76.0,68.0,66.0
Forward,221014,Carlos Fernández,69.0,77.0,64.0,75.0,27.0,71.0
Midfielder,221016,N. Vukčević,54.0,62.0,69.0,71.0,76.0,79.0
Midfielder,221269,J. Riedewald,60.0,56.0,74.0,69.0,74.0,70.0
Defender,221284,J. Gradit,71.0,29.0,60.0,67.0,75.0,82.0
Defender,221342,Pablo Maffeo,85.0,52.0,67.0,72.0,72.0,69.0
Forward,221445,Wu Lei,83.0,71.0,69.0,75.0,40.0,69.0
Midfielder,221671,Lee Jae Sung,69.0,57.0,75.0,78.0,53.0,62.0
Midfielder,221919,A. Zeneli,81.0,70.0,70.0,80.0,35.0,59.0
Midfielder,222148,O. Duda,65.0,73.0,72.0,79.0,53.0,64.0
Midfielder,222994,M. Nakamba,70.0,49.0,62.0,71.0,74.0,78.0
Midfielder,223061,F. Cervi,88.0,65.0,68.0,79.0,48.0,55.0
Defender,223570,J. Sambia,75.0,69.0,72.0,73.0,71.0,70.0
Defender,223671,S. Posch,71.0,29.0,50.0,45.0,79.0,71.0
Forward,223710,V. Muriqi,56.0,75.0,55.0,67.0,28.0,82.0
Goalkeeper,223885,A. Nübel,,,,,,
Midfielder,224030,M. Lopez,71.0,66.0,77.0,77.0,65.0,57.0
Defender,224258,K. Ajer,73.0,55.0,61.0,68.0,75.0,83.0
Midfielder,224425,M. Wolf,84.0,70.0,70.0,75.0,67.0,76.0
Midfielder,224444,H. Belkebla,60.0,49.0,71.0,71.0,70.0,73.0
Midfielder,225028,N. Radoja,61.0,61.0,71.0,74.0,74.0,75.0
Defender,225147,C. Roberts,80.0,48.0,65.0,67.0,68.0,72.0
Defender,225161,Vallejo,68.0,42.0,57.0,64.0,76.0,68.0
Forward,225293,H. Diallo,72.0,74.0,55.0,71.0,23.0,72.0
Defender,235634,G. Konan,79.0,48.0,68.0,75.0,70.0,71.0
Forward,223197,E. Ünal,68.0,77.0,64.0,75.0,36.0,77.0
Midfielder,235997,Fran Beltrán,63.0,56.0,75.0,77.0,75.0,66.0
Midfielder,247028,A. Král,75.0,70.0,71.0,75.0,72.0,79.0
Midfielder,243231,E. Mwepu,82.0,73.0,71.0,75.0,71.0,79.0
Defender,243414,B. Williams,80.0,57.0,65.0,73.0,70.0,68.0
Midfielder,243627,Y. Adli,62.0,70.0,75.0,74.0,66.0,66.0
Midfielder,243631,M. Camara,63.0,57.0,67.0,71.0,73.0,72.0
Defender,243715,W. Saliba,70.0,33.0,62.0,66.0,76.0,77.0
Defender,243854,M. Simakan,68.0,36.0,62.0,64.0,76.0,77.0
Defender,244206,N. Pérez,61.0,25.0,46.0,45.0,76.0,74.0
Defender,245426,M. Kumbulla,50.0,32.0,53.0,56.0,77.0,76.0
Midfielder,245940,Silas,87.0,71.0,61.0,80.0,52.0,68.0
Defender,246113,Adrià Pedrosa,89.0,60.0,69.0,75.0,69.0,69.0
Defender,246836,A. Pieper,68.0,32.0,53.0,55.0,78.0,74.0
