Positions,sofifa_id,short_name,Diving,Handling,Kicking,Positioning,Reflexes,Speed,ShortPassing,LongPassing
Defender,225859,M. Niakhaté,9,14,6,8,7,,69,66
Midfielder,225951,D. Bouanga,8,9,14,8,16,,71,60
Midfielder,234078,O. Mangala,7,6,7,7,10,,78,73
Defender,253290,M. Viña,6,10,15,9,11,,74,67
Defender,234574,Diogo Dalot,10,6,10,6,8,,74,62
Midfielder,244393,Gonzalo Villar,12,11,13,8,6,,84,75
Forward,242348,Loren,7,13,13,15,6,,73,41
Midfielder,242374,M. Barrow,8,6,14,14,12,,73,58
Defender,242578,B. Badiashile,8,7,5,15,8,,77,76
Defender,242663,S. Bornauw,6,7,7,11,15,,65,71
Midfielder,242664,A. Saelemaekers,9,6,9,12,12,,77,69
Midfielder,242816,Riqui Puig,12,15,14,12,9,,82,79
Midfielder,244261,L. Majer,9,12,12,5,6,,77,77
Goalkeeper,244316,Luís Maximiano,77,74,65,74,78,55.0,44,38
Defender,244749,N. Aguerd,7,15,9,14,6,,73,67
Midfielder,234711,J. Brekalo,9,7,5,6,14,,74,62
Midfielder,244778,Trincão,5,9,6,15,7,,70,66
Defender,244915,M. Salisu,7,7,11,10,6,,72,56
Defender,245388,J. Todibo,7,13,11,8,13,,75,67
Midfielder,246785,Bryan Gil,13,10,14,6,6,,74,69
Midfielder,251566,Gabriel Martinelli,10,6,7,6,6,,70,50
Defender,251804,S. Dest,11,10,10,15,15,,77,67
Midfielder,253004,Ansu Fati,6,9,8,10,7,,72,69
Defender,215699,Y. Sabaly,9,11,8,15,11,,73,60
Midfielder,241707,P. Gueye,12,12,12,14,12,,76,72
Defender,241497,C. Dagba,7,6,9,11,11,,77,68
Defender,240915,Miranda,11,8,12,9,6,,75,61
Defender,240754,Y. Atal,11,12,8,9,7,,72,68
Midfielder,235149,J. Schouten,11,7,6,5,14,,76,75
Midfielder,235424,D. Samassékou,5,11,11,14,8,,74,70
Defender,235875,Pol Lirola,12,12,5,9,13,,72,70
Midfielder,235944,Brais Méndez,10,5,10,12,8,,77,73
Midfielder,236221,D. Brašanac,6,14,9,9,9,,79,78
Midfielder,236276,A. Danjuma,15,8,10,8,14,,71,64
Midfielder,236679,Melendo,9,7,13,15,8,,77,75
Midfielder,236920,J. Kluivert,5,6,14,7,12,,68,54
Midfielder,237184,K. Bare,13,12,11,11,13,,75,73
Defender,238095,N. Milenković,8,7,13,7,14,,68,66
Midfielder,238227,K. Diatta,10,8,11,11,12,,69,65
Defender,239580,Bremer,13,15,13,5,6,,66,64
Defender,239890,O. Kabak,10,13,10,6,5,,73,69
Forward,239956,M. Boadu,9,15,14,6,11,,68,54
Midfielder,240273,E. Smith Rowe,11,8,14,8,10,,79,67
Midfielder,240458,Ander Guevara,14,12,11,14,14,,82,80
Defender,240716,M. Olivera,14,14,12,13,15,,68,60
Forward,215785,K. Baldé,12,8,13,8,15,,74,64
Defender,210719,M. Kempf,14,14,11,7,11,,64,69
Forward,215689,A. Petagna,3,3,3,5,3,,76,64
Midfielder,201262,V. Darida,16,14,16,14,14,,76,75
Defender,192641,K. Vogt,6,13,8,7,14,,80,85
Goalkeeper,192665,A. Luthe,77,70,61,78,77,38.0,24,19
Midfielder,193116,M. Gonalons,11,11,11,8,5,,79,75
Goalkeeper,193331,K. Darlow,77,73,68,75,78,58.0,36,30
Defender,193352,R. Rodríguez,14,13,14,14,11,,75,75
Midfielder,193683,X. Chavalerin,11,15,6,14,7,,78,73
Midfielder,193881,F. Đuričić,8,8,9,15,8,,79,76
Midfielder,194794,A. Yarmolenko,9,5,6,5,14,,77,74
Forward,194845,W. Khazri,6,7,11,11,6,,76,67
Goalkeeper,195668,Joel Robles,77,74,73,74,78,52.0,15,26
Midfielder,198368,Tomás Pina,8,12,11,7,15,,79,78
Midfielder,198719,N. Redmond,12,14,16,6,10,,73,62
Defender,199393,N. Pallois,15,16,10,15,6,,69,68
Midfielder,199561,Nolito,10,15,12,8,8,,79,69
Defender,199577,Sergi Gómez,15,16,11,11,7,,77,74
Defender,199633,M. Lowton,11,6,6,13,7,,74,73
Goalkeeper,200316,T. Horn,77,77,60,70,78,47.0,30,29
Defender,200677,Pedro Mendes,10,6,13,10,10,,66,65
Defender,201118,Cédric,11,14,12,12,11,,75,69
Defender,192041,N. Araújo,7,8,13,6,9,,72,66
Midfielder,190765,P. Groß,8,15,15,16,11,,80,79
Forward,190362,T. Pukki,13,8,8,9,7,,71,48
Goalkeeper,172723,A. Begović,76,77,73,74,76,47.0,26,32
Goalkeeper,104389,R. Jarstein,74,71,70,80,78,40.0,29,31
Defender,158625,Dante,14,8,10,6,13,,74,76
Midfielder,162895,Cesc Fàbregas,6,10,8,15,15,,83,82
Goalkeeper,163264,T. Heaton,74,75,74,78,75,56.0,32,37
Midfielder,164859,T. Walcott,11,8,9,9,8,,70,61
Defender,169705,R. Bertrand,11,13,15,10,15,,76,69
Midfielder,169706,J. Cork,13,11,16,6,6,,78,74
Defender,170320,L. De Silvestri,15,11,10,14,14,,74,71
Defender,173208,D. Criscito,13,10,16,9,9,,75,76
Midfielder,189712,K. Strootman,7,12,11,6,7,,82,67
Midfielder,181318,A. Ekdal,5,5,5,5,5,,80,78
Defender,182495,M. Cáceres,2,3,4,2,4,,66,64
Midfielder,183130,M. Albrighton,15,9,8,15,14,,74,72
Forward,183569,E. Choupo-Moting,9,9,9,16,6,,75,63
Defender,184190,R. Thomas,13,7,11,14,10,,69,68
Midfielder,184826,Adrien Silva,15,6,8,10,7,,79,78
Defender,215399,Rúben Vezo,11,6,12,9,14,,70,68
Midfielder,189251,S. Rudy,13,8,13,12,10,,80,78
Midfielder,201144,M. Badelj,8,9,14,15,6,,80,78
Defender,186156,L. Ayling,9,11,11,9,8,,71,63
Defender,201389,C. Biraghi,12,6,14,10,7,,75,75
Midfielder,212127,D. Lazović,14,10,11,11,9,,73,68
Defender,208001,Paulo Otávio,8,7,6,15,13,,70,61
Forward,208498,M. Dabbur,13,12,10,15,11,,73,62
Defender,208509,T. Foket,14,6,11,13,10,,70,69
Midfielder,208787,A. Thomasson,14,9,15,9,13,,78,76
Defender,210047,F. Schär,8,9,11,10,15,,72,73
Defender,210384,R. Haps,13,8,15,6,13,,73,60
Midfielder,210438,F. Boulaya,6,15,10,12,9,,75,70
Midfielder,210896,M. Sanson,6,16,16,9,9,,77,78
Forward,212228,I. Toney,16,8,8,7,8,,62,54
Midfielder,206516,W. Hughes,7,15,12,9,12,,80,76
Midfielder,212242,R. Andrich,7,9,10,13,15,,80,77
Forward,212260,Hwang Ui Jo,9,15,10,7,6,,67,57
Defender,212678,L. Augustinsson,10,12,10,15,8,,74,75
Defender,212883,D. Amartey,13,13,13,8,15,,75,66
Defender,212977,N. Stark,7,15,10,15,13,,74,65
Forward,213135,D. Origi,15,13,16,11,15,,73,59
Defender,201510,L. Kurzawa,14,10,7,9,15,,75,67
Midfielder,213388,F. Tait,12,15,14,8,9,,75,70
Defender,206654,Pablo Marí,6,14,7,13,12,,71,65
Defender,212219,A. Djiku,11,7,9,10,11,,74,65
Midfielder,206306,J. Ferri,7,11,11,15,15,,80,78
Defender,204760,C. Taylor,13,6,14,13,8,,73,68
Goalkeeper,201976,A. Gomis,76,76,70,75,76,42.0,34,35
Midfielder,206304,L. Milivojević,13,9,16,6,12,,78,75
Defender,201982,J. Schmid,15,7,7,10,8,,75,69
Defender,202201,J. Gouweleeuw,13,7,16,13,7,,68,76
Defender,202429,D. da Costa,15,15,12,6,6,,64,64
Forward,202685,S. Zaza,7,13,9,7,9,,67,45
Midfielder,201858,N. Sansone,11,7,14,9,14,,72,67
Defender,203741,T. Delaine,15,11,14,10,10,,72,70
Forward,204077,M. Niang,4,6,4,4,4,,69,58
Defender,203030,R. Knoche,14,10,16,10,9,,69,69
Defender,205346,R. Fredericks,16,7,8,15,9,,72,60
Midfielder,205407,D. Baselli,11,12,13,7,6,,82,78
Defender,205566,Alberto Moreno,10,14,9,10,11,,73,64
Defender,206058,M. De Sciglio,5,3,5,5,3,,74,68
Midfielder,205201,O. Yokuşlu,12,16,10,13,7,,74,72
Midfielder,206225,D. Cheryshev,16,7,14,7,8,,72,74
Midfielder,206115,I. Hayden,9,15,8,8,12,,74,69
Forward,226380,Hwang Hee Chan,11,7,10,11,15,,74,65
Defender,229476,W. Anton,11,12,12,13,13,,70,67
Midfielder,229758,R. Krunić,14,9,12,10,14,,78,76
Defender,229628,Fali,8,6,6,15,6,,64,69
Midfielder,229593,M. Pjaca,11,5,10,9,12,,77,67
Midfielder,226627,T. Minamino,9,12,8,15,14,,71,63
Defender,228732,H. Moukoudi,12,14,12,15,9,,70,60
Midfielder,228509,J. Reine-Adélaïde,10,15,11,16,8,,78,72
Defender,226515,Andrei Girotto,11,7,9,6,12,,77,68
Midfielder,226078,Trezeguet,8,10,15,10,7,,76,68
Midfielder,226168,M. Eggestein,15,10,13,15,8,,75,73
Midfielder,230005,T. Davies,11,12,9,14,10,,79,74
Goalkeeper,234102,I. Radu,79,69,72,75,80,40.0,24,26
Midfielder,231227,N. Dorsch,12,9,5,9,5,,78,73
Midfielder,231280,Iván Alejo,9,12,14,14,10,,75,71
Defender,231591,Javi Galán,14,14,10,6,8,,78,69
Midfielder,231612,R. Del Castillo,7,10,9,13,12,,72,67
Midfielder,232097,A. Harit,15,13,10,13,6,,74,70
Defender,232938,T. Tomiyasu,9,14,6,5,11,,71,66
Forward,233866,O. Edouard,7,6,13,11,13,,72,55
Defender,234178,L. Abram,10,9,13,6,12,,76,58
Midfielder,234789,Y. Eteki,11,11,7,6,12,,76,75
Midfielder,234824,Y. Wissa,14,7,6,8,15,,65,60
Midfielder,225748,T. Cantwell,10,8,14,15,16,,76,68
Midfielder,235134,P. Rosario,12,12,7,9,5,,75,75
Defender,235565,D. Bronn,6,10,9,7,9,,70,73
Midfielder,225782,A. Maitland-Niles,15,9,7,10,13,,75,68
Forward,221639,Mariano,12,14,6,8,15,,66,51
Midfielder,225475,Hernani,9,13,13,11,7,,75,76
Midfielder,225439,R. Mandragora,13,14,9,14,16,,78,76
Midfielder,220905,J. Aholou,13,7,7,14,8,,76,73
Defender,235883,R. Sessegnon,6,11,7,8,7,,75,62
Forward,221014,Carlos Fernández,12,13,8,9,12,,74,66
Midfielder,221016,N. Vukčević,12,13,12,15,15,,77,75
Midfielder,221269,J. Riedewald,15,7,15,9,15,,77,75
Defender,221284,J. Gradit,8,13,11,12,10,,71,59
Defender,221342,Pablo Maffeo,10,7,14,12,15,,72,63
Forward,221445,Wu Lei,10,15,13,12,7,,71,65
Midfielder,221671,Lee Jae Sung,14,7,15,6,8,,80,72
Midfielder,221919,A. Zeneli,10,8,10,7,14,,70,57
Midfielder,222148,O. Duda,15,12,14,16,10,,76,69
Midfielder,222994,M. Nakamba,9,15,10,15,8,,74,71
Midfielder,223061,F. Cervi,12,8,9,11,10,,70,57
Defender,223570,J. Sambia,9,11,14,11,16,,73,69
Defender,223671,S. Posch,6,8,7,6,8,,69,58
Forward,223710,V. Muriqi,8,9,14,9,10,,70,42
Goalkeeper,223885,A. Nübel,75,65,71,76,85,48.0,29,18
Midfielder,224030,M. Lopez,7,14,13,11,6,,80,75
Defender,224258,K. Ajer,9,9,14,7,10,,73,64
Midfielder,224425,M. Wolf,12,15,7,16,8,,74,58
Midfielder,224444,H. Belkebla,8,14,16,14,15,,77,76
Midfielder,225028,N. Radoja,11,13,12,9,7,,81,77
Defender,225147,C. Roberts,6,12,8,12,13,,71,58
Defender,225161,Vallejo,10,13,15,13,6,,71,72
Forward,225293,H. Diallo,13,14,14,15,12,,66,43
Defender,235634,G. Konan,8,5,5,11,8,,71,64
Forward,223197,E. Ünal,8,14,8,13,13,,74,47
Midfielder,235997,Fran Beltrán,14,11,8,13,9,,79,82
Midfielder,247028,A. Král,11,13,10,11,12,,75,72
Midfielder,243231,E. Mwepu,15,7,12,14,8,,76,71
Defender,243414,B. Williams,10,13,11,7,7,,71,61
Midfielder,243627,Y. Adli,14,12,9,10,14,,78,75
Midfielder,243631,M. Camara,6,11,7,9,7,,75,75
Defender,243715,W. Saliba,7,10,6,8,11,,73,70
Defender,243854,M. Simakan,8,6,6,11,15,,69,68
Defender,244206,N. Pérez,9,8,8,9,6,,68,57
Defender,245426,M. Kumbulla,9,8,15,14,7,,61,58
Midfielder,245940,Silas,8,13,13,9,11,,70,48
Defender,246113,Adrià Pedrosa,14,14,14,10,8,,73,69
Defender,246836,A. Pieper,12,12,10,9,11,,69,58
Midfielder,246960,M. Ihattaren,9,9,9,13,6,,72,72
Midfielder,247328,Unai Vencedor,15,6,10,6,13,,74,76
Forward,236245,A. Elis,9,7,6,10,9,,65,58
Midfielder,247495,Moncayola,7,7,11,11,14,,76,77
Defender,251182,Iago,7,8,15,12,13,,72,69
Defender,251517,J. Gvardiol,5,8,6,9,11,,74,74
Defender,252000,D. Bradarić,11,10,13,13,6,,73,64
Forward,252084,Marcos André,6,14,11,8,12,,69,57
Midfielder,253157,H. Boudaoui,7,6,7,13,8,,77,68
Midfielder,254487,Matheus Henrique,8,12,7,11,7,,81,84
Defender,256769,A. Truffert,6,6,6,6,8,,72,70
Midfielder,256790,J. Musiala,6,9,8,8,11,,72,65
Defender,259694,Mingueza,9,10,15,8,13,,76,69
Goalkeeper,262621,G. Mamardashvili,76,77,71,76,79,44.0,15,15
Midfielder,220633,D. Gray,6,11,11,13,10,,68,59
Midfielder,242794,I. Louza,7,15,6,6,5,,78,75
Midfielder,242619,C. Doucouré,10,14,12,12,15,,78,75
Midfielder,242577,R. Faivre,14,13,13,14,15,,72,69
Defender,242392,G. Magnani,13,10,10,5,7,,60,55
Forward,236461,J. Mateta,8,8,7,13,11,,65,41
Midfielder,236699,S. Lukić,9,11,13,9,6,,80,77
Defender,236804,F. Medina,13,5,12,13,13,,71,57
Midfielder,236817,H. Maïga,8,8,10,15,10,,72,71
Forward,237034,J. Hernández,9,11,11,9,6,,70,62
Defender,237221,J. Foyth,8,15,7,14,9,,74,66
Midfielder,237329,J. Willock,11,6,12,8,9,,76,69
Midfielder,237626,Y. Neyou,15,7,10,8,14,,76,70
Midfielder,237681,T. Kubo,6,7,15,10,10,,73,58
Midfielder,237819,N. Domínguez,6,11,9,10,5,,79,76
Forward,237960,Mama Baldé,6,12,13,13,6,,71,65
Defender,238305,Nacho Vidal,8,8,7,11,9,,75,65
Defender,238370,M. Pongračić,6,6,14,8,5,,64,63
Midfielder,238581,R. Vargas,12,7,5,6,11,,71,69
Midfielder,239335,Óscar,12,7,9,11,7,,75,73
Midfielder,239529,F. Onyeka,15,9,7,6,14,,72,67
Forward,239592,J. Macías,10,10,6,11,5,,72,52
Midfielder,239795,C. Ekuban,8,13,9,11,6,,68,62
Midfielder,239837,A. Mac Allister,7,10,14,15,10,,76,75
Defender,240060,M. Aarons,11,11,7,9,8,,71,61
Defender,240289,Calero,11,13,7,14,7,,74,72
Midfielder,240654,Carles Pérez,11,5,13,7,12,,74,58
Midfielder,241042,O. Skipp,8,12,9,7,5,,77,75
Forward,241686,Manu Vallejo,7,14,8,11,10,,71,57
Defender,241827,Martín,13,9,9,7,9,,75,50
Midfielder,220876,F. Honorat,10,15,7,14,15,,72,63
Defender,215798,M. Cornet,16,13,8,12,9,,74,62
Goalkeeper,220604,Jaume,73,77,74,71,75,58.0,57,55
Midfielder,193133,J. Larsen,7,8,12,7,9,,76,71
Defender,189860,Kiko Femenía,16,15,7,15,11,,74,63
Goalkeeper,189908,Ł. Skorupski,78,72,54,74,81,51.0,29,26
Defender,190223,Balenziaga,15,10,7,6,11,,73,69
Defender,190324,C. Kabasele,14,11,6,14,16,,65,57
Defender,190456,N. Clyne,10,11,13,15,7,,75,66
Goalkeeper,190778,J. Zoet,74,74,75,75,77,51.0,37,37
Midfielder,191076,J. Guðmundsson,7,6,14,10,8,,77,75
Midfielder,191135,L. Júnior,7,16,12,11,7,,66,57
Forward,192086,A. Kokorin,7,16,14,8,8,,75,66
Midfielder,192667,A. Nyom,12,8,9,9,14,,75,73
Forward,192722,R. Hamouma,14,11,14,7,13,,77,70
Midfielder,192955,M. Klich,11,16,12,11,14,,77,74
Defender,194201,P. Jansson,9,5,14,6,7,,68,62
Defender,200353,A. Soumaoro,6,10,8,16,14,,73,56
Defender,194644,Montoya,6,15,16,8,8,,72,69
Midfielder,195038,F. Kainz,11,7,10,15,13,,72,70
Forward,196889,S. Verdi,12,10,7,15,9,,76,69
Forward,197756,J. Ayew,6,8,7,16,8,,73,60
Midfielder,197891,Juanmi,11,6,9,12,9,,74,59
Defender,198032,D. Burn,15,13,7,8,10,,69,66
Midfielder,198451,Dani Rodríguez,15,15,9,8,7,,76,72
Forward,198683,M. Gabbiadini,12,11,11,5,5,,72,64
Midfielder,198861,N. Mendy,14,12,9,12,15,,77,72
Defender,198904,G. Hanley,9,9,11,12,8,,60,48
Midfielder,199247,Álex Fernández,16,14,12,16,6,,82,78
Midfielder,200054,Pedro Obiang,9,7,7,6,7,,76,72
Midfielder,189485,Diego Farías,6,7,6,5,14,,72,59
Defender,189456,L. Cooper,10,12,10,9,15,,72,64
Defender,189433,B. Hübner,16,8,7,8,16,,62,59
Goalkeeper,189324,A. McCarthy,74,74,61,75,80,57.0,33,35
Midfielder,219576,R. Battaglia,7,7,7,9,9,,76,76
Midfielder,149185,F. Magnanelli,8,12,7,11,5,,74,71
Midfielder,152879,M. Noble,7,6,14,16,11,,78,79
Goalkeeper,153275,J. Leca,75,72,76,73,77,46.0,33,37
Midfielder,158144,Salva Sevilla,14,14,9,13,10,,80,81
Defender,169595,D. Rose,10,11,8,13,13,,75,66
Goalkeeper,169697,D. Randolph,77,72,67,73,76,42.0,33,34
Midfielder,171972,J. McArthur,9,9,9,9,9,,77,74
Goalkeeper,172203,F. Forster,75,71,64,74,79,30.0,27,19
Midfielder,173030,Ó. Trejo,14,14,7,16,11,,76,75
Defender,173546,J. Tomkins,11,8,6,9,14,,68,60
Midfielder,177358,M. Schneiderlin,6,11,12,14,7,,79,71
Midfielder,180819,A. Lallana,6,15,14,8,11,,81,75
Defender,183129,C. Clark,14,7,12,14,12,,61,60
Defender,183285,M. Sakho,14,12,9,7,8,,74,69
Midfielder,183427,F. Delph,10,9,14,11,6,,76,74
Forward,183580,N. Petersen,11,7,15,13,7,,64,49
Forward,184111,C. Benteke,14,5,12,8,5,,66,51
Defender,184873,I. Traoré,6,10,16,6,15,,68,65
Forward,185422,J. King,12,9,11,12,7,,72,62
Forward,185431,N. Kalinić,9,11,9,11,7,,74,48
Goalkeeper,186569,S. Ulreich,76,69,62,75,79,41.0,35,30
Forward,186905,A. Barnes,6,10,11,10,10,,72,65
Midfielder,189165,J. Shelvey,14,11,15,8,16,,81,82
Goalkeeper,189296,E. Berisha,74,74,66,74,76,28.0,20,26
Midfielder,200318,M. Uth,9,11,8,9,11,,72,70
Defender,179847,F. Fazio,8,9,12,11,14,,64,60
Midfielder,200759,J. Schlupp,9,7,8,10,9,,72,61
Goalkeeper,211348,S. Dimitrievski,74,76,72,76,76,36.0,23,27
Midfielder,211706,Pere Pons,11,11,9,8,12,,79,77
Goalkeeper,211738,M. Flekken,76,69,75,73,77,31.0,27,28
Forward,211862,A. Hahn,14,14,13,15,11,,64,63
Forward,211899,F. Niederlechner,15,7,6,16,16,,72,56
Midfielder,212212,D. Kohr,6,11,9,10,7,,73,66
Midfielder,212811,M. Lemina,12,9,15,8,16,,77,73
Midfielder,213242,A. Tameze,13,16,14,15,14,,76,71
Midfielder,213367,L. Abergel,7,14,15,8,7,,75,69
Defender,213404,P. Dawidowicz,7,11,8,11,13,,68,66
Midfielder,213629,E. Pulgar,12,12,11,15,11,,78,76
Midfielder,213666,R. Loftus-Cheek,11,7,12,15,13,,79,76
Forward,213814,F. Di Francesco,11,10,6,10,5,,77,67
Defender,214639,Postigo,13,13,7,7,10,,66,67
Forward,215061,D. Benedetto,10,14,12,8,11,,70,68
Midfielder,215449,R. Skov,15,16,15,13,11,,73,70
Defender,215466,N. Maksimović,12,9,5,11,15,,59,59
Midfielder,146947,Vesga,12,11,16,6,13,,78,77
Defender,216158,S. Widmer,10,8,7,5,14,,71,71
Defender,216380,D. Sinkgraven,10,13,11,14,15,,72,75
Midfielder,216447,Álvaro García,11,8,10,10,14,,73,71
Forward,216452,Gonçalo Paciência,9,8,14,12,7,,64,51
Forward,216816,G. Simeone,12,15,9,14,11,,68,55
Midfielder,216820,M. Simon,7,13,12,13,9,,67,62
Midfielder,201046,R. Saponara,5,3,5,5,3,,78,72
Defender,219466,B. Meling,8,10,15,12,6,,69,66
Midfielder,211382,I. Amadou,6,7,11,14,14,,74,70
Defender,216283,Danilo,10,11,15,10,12,,70,68
Goalkeeper,211101,Rubén Blanco,79,75,73,73,74,53.0,35,29
Midfielder,205531,V. Verre,5,13,9,8,11,,75,73
Defender,201939,C. Piccini,8,9,5,7,11,,69,62
Defender,201860,E. Bičakčić,11,11,15,15,12,,60,58
Defender,210635,K. Hause,15,16,14,10,14,,69,65
Defender,201988,F. Fernández,12,12,13,14,12,,68,60
Forward,202848,G. Caprari,9,8,14,6,11,,74,62
Midfielder,203570,S. Dallas,13,7,11,13,7,,76,70
Forward,203736,S. Bahoken,6,14,15,10,16,,68,39
Goalkeeper,203775,L. Karius,80,68,75,72,79,55.0,38,41
Defender,204451,K. Günter,13,10,10,9,10,,71,72
Defender,204472,B. Sarr,9,15,14,8,12,,77,71
Midfielder,205343,J. Akpa Akpro,7,10,9,9,8,,75,72
Midfielder,205402,J. Boëtius,15,12,9,11,9,,75,68
Midfielder,203362,M. Elyounoussi,12,7,8,7,13,,74,66
Goalkeeper,207935,M. Dituro,72,72,75,77,77,38.0,32,25
Defender,207790,K. Ayhan,16,10,8,14,10,,75,70
Forward,209430,R. Ripart,10,11,10,13,11,,70,66
Forward,205850,L. Pavoletti,15,6,12,14,9,,68,36
Midfielder,209781,P. Capelle,9,12,16,9,16,,75,74
Defender,207993,S. Kolašinac,15,9,16,7,9,,71,62
Midfielder,207807,R. Fraser,15,14,15,7,10,,65,65
Defender,209289,Kévin Rodrigues,11,14,11,15,16,,80,76
Defender,207707,Marçal,6,11,14,13,11,,77,73
Defender,207616,A. Webster,10,8,14,7,12,,73,70
Defender,206594,S. March,9,11,7,13,15,,74,67
Defender,205989,C. Chambers,11,14,12,7,12,,76,70
Defender,232223,K. Tsimikas,8,12,8,13,10,,69,66
Midfielder,232244,S. Ascacíbar,6,10,5,14,9,,69,65
Defender,234686,J. Lotomba,12,15,9,9,13,,74,60
Midfielder,233061,M. Pereira Lage,9,15,5,11,6,,73,70
Midfielder,233113,Aleñá,12,9,10,8,12,,78,75
Midfielder,233265,R. Oudin,8,13,11,13,6,,74,66
Goalkeeper,233934,A. Ramsdale,75,72,69,71,76,48.0,31,33
Midfielder,234569,Florentino,6,14,14,10,14,,73,71
Defender,236636,A. Caci,11,9,12,7,8,,71,69
Defender,235899,D. Zeefuik,6,5,6,10,10,,64,57
Defender,235026,O. Richards,11,9,13,10,11,,68,53
Midfielder,235042,D. Liénard,13,12,15,14,14,,80,78
Defender,235454,M. Sarr,6,9,14,12,8,,74,68
Midfielder,235813,R. Marin,11,14,6,8,8,,79,80
Defender,236295,Aarón,11,14,10,12,12,,79,60
Midfielder,236311,M. Rog,6,15,12,13,12,,80,78
Defender,236457,D. Giannoulis,14,5,13,9,12,,67,65
Forward,236498,S. Lammers,13,12,5,8,15,,67,43
Forward,231745,L. Dimata,12,15,12,5,10,,72,60
Defender,236600,J. Tanganga,11,9,12,7,14,,69,54
Forward,231835,T. Henry,5,13,9,6,15,,73,61
Defender,227647,M. Mittelstädt,13,10,7,13,13,,70,69
Midfielder,231640,Ontiveros,6,8,6,11,12,,72,70
Defender,231485,A. Tuanzebe,5,8,5,13,12,,75,70
Midfielder,225562,Merquelanz,12,14,14,7,7,,76,68
Midfielder,237207,S. Kalu,11,13,6,10,12,,68,60
Defender,225706,M. Trauco,12,10,12,10,8,,76,73
Midfielder,225844,D. Verde,7,12,14,9,12,,65,60
Forward,225926,Pere Milla,10,10,14,14,14,,74,60
Goalkeeper,226085,Léo Jardim,76,72,68,69,75,41.0,27,24
Defender,226536,O. Colley,8,7,7,14,13,,62,52
Midfielder,226592,J. Jankto,7,16,9,14,15,,72,71
Forward,226710,G. Scamacca,12,10,11,7,12,,69,45
Forward,227232,F. Sotoca,13,15,12,11,14,,69,65
Defender,227873,A. Touré,11,15,7,7,12,,69,65
Defender,229359,Jorge Miramón,11,10,15,14,13,,74,72
Midfielder,229723,M. Jensen,5,13,10,8,12,,76,76
Defender,230021,J. Aidoo,11,6,9,13,6,,59,42
Forward,230084,L. Nmecha,9,11,11,8,6,,71,58
Forward,230978,T. Awoniyi,10,7,9,8,10,,71,56
Midfielder,231236,M. Cafaro,6,10,11,10,10,,72,71
Midfielder,231242,A. Ounas,8,6,8,7,12,,75,65
Defender,231361,J. Gnagnon,11,6,14,9,6,,67,71
Forward,236988,E. Nketiah,12,10,11,9,5,,66,45
Midfielder,245275,T. Bašić,13,10,11,11,7,,76,75
Midfielder,237560,M. Djenepo,12,9,9,14,10,,67,59
Forward,251892,Beto,15,11,9,6,13,,62,57
Goalkeeper,243952,A. Lunin,71,70,73,74,76,37.0,25,26
Goalkeeper,244274,A. Šemper,74,74,63,75,75,31.0,34,31
Midfielder,246672,Barrenetxea,13,11,11,5,13,,66,53
Defender,246748,Aihen Muñoz,10,9,10,15,15,,72,75
Defender,247131,A. Espino,15,6,8,12,5,,67,56
Midfielder,247246,K. Thuram,7,9,14,11,9,,76,72
Defender,247832,Thierry Correia,10,15,6,6,7,,67,60
Midfielder,248148,Zubimendi,7,6,12,14,13,,77,73
Midfielder,251217,Jean Lucas,12,7,14,13,11,,78,76
Defender,252339,Tiago Djaló,9,9,9,7,6,,69,65
Midfielder,237629,A. Maier,14,10,10,8,7,,78,75
Midfielder,252837,Nico Melamed,11,8,10,12,11,,70,65
Forward,253002,G. Raspadori,13,14,7,7,9,,77,52
Midfielder,253102,A. Aouchiche,8,9,14,8,7,,77,73
Forward,255000,T. Moffi,13,11,11,11,12,,64,41
Defender,255106,L. Badé,7,6,14,7,7,,70,59
Defender,255687,D. Zima,5,12,13,10,10,,64,61
Midfielder,256632,Luis Henrique,9,5,7,10,15,,74,63
Midfielder,256948,C. Tzolis,15,10,12,6,10,,69,63
Defender,225410,A. Masina,14,14,13,7,6,,69,68
Forward,243780,Kangin Lee,11,12,12,8,14,,76,72
Defender,243237,L. Pellegrini,6,9,11,6,5,,70,64
Midfielder,243014,B. Mbeumo,7,14,15,13,14,,69,64
Defender,242835,L. Balerdi,6,8,15,15,14,,75,70
Forward,237679,R. Kolo Muani,7,14,15,8,5,,73,62
Midfielder,237995,D. Lainez,14,13,14,7,9,,75,64
Midfielder,238068,M. Richter,12,13,7,5,10,,69,56
Midfielder,238216,C. Gallagher,7,6,15,9,9,,74,73
Defender,238621,Rodrigo Becão,5,9,6,6,12,,68,64
Defender,238717,E. Pinnock,5,9,13,6,8,,68,62
Forward,238900,E. Demirović,9,8,9,7,6,,69,48
Forward,239015,E. Dennis,13,7,11,11,13,,64,58
Defender,239360,P. Struijk,14,8,8,10,14,,73,72
Defender,239368,M. Bakker,14,7,11,8,9,,73,66
Defender,240223,M. Ristić,7,8,8,14,5,,70,62
Defender,240359,O. Alderete,7,13,14,13,15,,68,68
Midfielder,240938,Junior Messias,8,8,15,9,12,,76,69
Defender,240976,M. Saracchi,8,8,11,10,9,,72,70
Defender,241103,Z. Vanheusden,11,9,9,9,6,,72,70
Forward,241130,I. Ganago,9,10,8,8,13,,66,54
Forward,241496,T. Weah,7,9,12,15,14,,71,63
Midfielder,241867,Aitor Ruibal,9,14,7,15,8,,71,65
